The victim was unemployed and looking for work when she was targeted.  She was living on the street in Slovakia when two men approached her in a shopping centre and asked if she would go to England to marry an Indian man in exchange for a better life.,Forced Marriage,Sexual Exploitation
The victim was unemployed and looking for work when she was targeted.  She was living on the street in Slovakia when two men approached her in a shopping centre and asked if she would go to England to marry an Indian man in exchange for a better life.,Forced Marriage,Sexual Exploitation
The victim was unemployed and looking for work when she was targeted.  She was living on the street in Slovakia when two men approached her in a shopping centre and asked if she would go to England to marry an Indian man in exchange for a better life.,Forced Marriage,Sexual Exploitation
The victim was unemployed and looking for work when she was targeted.  She was living on the street in Slovakia when two men approached her in a shopping centre and asked if she would go to England to marry an Indian man in exchange for a better life.,Forced Marriage,Sexual Exploitation
The victim was unemployed and looking for work when she was targeted.  She was living on the street in Slovakia when two men approached her in a shopping centre and asked if she would go to England to marry an Indian man in exchange for a better life.,Forced Marriage,Sexual Exploitation
The victim was unemployed and looking for work when she was targeted.  She was living on the street in Slovakia when two men approached her in a shopping centre and asked if she would go to England to marry an Indian man in exchange for a better life.,Forced Marriage,Sexual Exploitation
The victim was unemployed and looking for work when she was targeted.  She was living on the street in Slovakia when two men approached her in a shopping centre and asked if she would go to England to marry an Indian man in exchange for a better life.,Forced Marriage,Sexual Exploitation
The booking reference for the crossing was traced by detectives back to Suchy.,Domestic Servitude,Labour Exploitation
"The victims had been encouraged to come to Northern Ireland for well-paid jobs and a new life, and hoped to send money home to their impoverished families. ",Labour Exploitation
"The victims had been encouraged to come to Northern Ireland for well-paid jobs and a new life, and hoped to send money home to their impoverished families. ",Labour Exploitation
"The victims had been encouraged to come to Northern Ireland for well-paid jobs and a new life, and hoped to send money home to their impoverished families. ",Labour Exploitation
"actively recruited and transported the most vulnerable and easily targeted members of society, including those with nomadic lifestyles and addictions, and those without regular work or close family.",Labour Exploitation
"actively recruited and transported the most vulnerable and easily targeted members of society, including those with nomadic lifestyles and addictions, and those without regular work or close family.",Labour Exploitation
"actively recruited and transported the most vulnerable and easily targeted members of society, including those with nomadic lifestyles and addictions, and those without regular work or close family.",Labour Exploitation
"actively recruited and transported the most vulnerable and easily targeted members of society, including those with nomadic lifestyles and addictions, and those without regular work or close family.",Labour Exploitation
"actively recruited and transported the most vulnerable and easily targeted members of society, including those with nomadic lifestyles and addictions, and those without regular work or close family.",Labour Exploitation
Told getting good job in Kathmandu,Child Labour
promised $600 to go to work in China by a neighbor from the same village,Forced Marriage
"Promised the refugees well paid jobs at restaurants and hotels in Lebanon.  As soon as the Syrian women transferred to Lebanon, their belongings and mobile phones were taken away, and they were locked up in two prison-like hotels north of Beirut.  The traffickers tortured, sexually abused and forced the women in need into prostitution. Those who refused to work as prostitutes were repeatedly raped and tortured until they submitted",Sexual Exploitation
Tricked by a neighbour,Sexual Exploitation
"Promised job in Chicago hotel earning $5,000 per month.  Forced to take drugs at gunpoint.  In Indonesia, the traffickers came looking for her at her mother's house, and she and her daughter had to go into hiding.",Sexual Exploitation
"""He put a knife to my throat; he would stub out his cigarette on my body ... He would threaten to kill my family if I didn't make 1,000 [Swiss] francs every night,"" she said.",Child Sexual Exploitation
Pimp threatened to kill her brothers,Sexual Exploitation
Promised job as concierge in Sicily,Labour Exploitation
Promised domestic worker jobs in Lebanon,Labour Exploitation
Promised domestic worker jobs in Lebanon,Labour Exploitation
Promised jobs as teachers and nurses.  Passports confiscated.  Sexual and physical abuse,Domestic Servitude
Recruited homeless people.  Took any ID documents away.  Many were hit with broom handles and belts and punched and kicked.  One worker had a hosepipe shoved down his throat and the men were often made to strip for a ""hosing down session"" with freezing water.The men were given so little food they resorted to scavenging from dustbins at supermarkets.,Labour Exploitation
Recruited homeless people & drug addicts.  Took any ID documents away.  Many were hit with broom handles and belts and punched and kicked.  One worker had a hosepipe shoved down his throat and the men were often made to strip for a ""hosing down session"" with freezing water.The men were given so little food they resorted to scavenging from dustbins at supermarkets.,Labour Exploitation
Recruited homeless people & drug addicts.  Took any ID documents away.  Many were hit with broom handles and belts and punched and kicked.  One worker had a hosepipe shoved down his throat and the men were often made to strip for a ""hosing down session"" with freezing water.The men were given so little food they resorted to scavenging from dustbins at supermarkets.,Labour Exploitation
Recruited homeless people & drug addicts.  Took any ID documents away.  Many were hit with broom handles and belts and punched and kicked.  One worker had a hosepipe shoved down his throat and the men were often made to strip for a ""hosing down session"" with freezing water.The men were given so little food they resorted to scavenging from dustbins at supermarkets.,Labour Exploitation
Recruited homeless people & drug addicts.  Took any ID documents away.  Many were hit with broom handles and belts and punched and kicked.  One worker had a hosepipe shoved down his throat and the men were often made to strip for a ""hosing down session"" with freezing water.The men were given so little food they resorted to scavenging from dustbins at supermarkets.,Labour Exploitation
False job promises in Europe,Sexual Exploitation
False job promises,Sexual Exploitation
"those with alcohol or substance dependencies would be targeted in Poland and then brought over to the UK on the promise of regular, well paid employment.",Labour Exploitation
False well-paying jobs,Domestic Servitude
"False job promise in Johannesburg earning 20,000 rand per month",Sexual Exploitation
False job promises,Forced Criminality
"They were approached separately by another Burundian woman in Bujumbura, where they live as neighbours, with a plan to take them to Saudi Arabia, where they would earn 500,000 Burundian Franc monthly.",Domestic Servitude
"They were approached separately by another Burundian woman in Bujumbura, where they live as neighbours, with a plan to take them to Saudi Arabia, where they would earn 500,000 Burundian Franc monthly.",Domestic Servitude
Offered well paying jobs in the Middle East,Domestic Servitude
Offered well paying jobs in the Middle East,Domestic Servitude
Offered well paying jobs in the Middle East,Domestic Servitude
Edvinas has learning disabilities and Edgarus is of limited education. The twins said their convicted gangmasters had repeatedly threatened them with violence.,Labour Exploitation
Edvinas has learning disabilities and Edgarus is of limited education. The twins said their convicted gangmasters had repeatedly threatened them with violence.,Labour Exploitation
Family had to pay money so he wasn't murdered in Libyan prison,Labour Exploitation
Fake job agencies promising domestic jobs in Asia,Organ harvesting
Targetting homeless youth,Sexual Exploitation
Recruited by friend,Sexual Exploitation
Recruited by friend,Sexual Exploitation
Targetting women working in bars who are from very poor families in North or North East Thailand,Sexual Exploitation
Targetting women working in bars who are from very poor families in North or North East Thailand,Sexual Exploitation
Thai women recruited at the temple.,Sexual Exploitation
Online 'dating' sites,Sexual Exploitation
Targeting women in bars and hotels from very poor families,Sexual Exploitation
"""Usually, there’s something being used against them or they’re being manipulated in some way,"" Chief Deputy District Attorney Kristine Reed said",Sexual Exploitation
