The 16-year-old student of class-IX from a village in Nilphamari works at M/S Miraz Bricks in Chauddagram upazila of Cumilla, Child Labour
Children often come to work at brick kilns due to poverty. They need to run their families with the earnings, Child Labour
Delhi high court ended criminal proceedings against a couple who had employed a minor for household work, Child Labour
India’s children used to almost entirely work on farms but are now moving to non-farm jobs especially in the services sector, Child Labour
Due to poverty children in Balochistan are compelled to work for their families from a young age, Child Labour
A Quitman man has pleaded guilty to two charges accusing him of coercing an underage victim to pose nude for photos, Child Sexual Exploitation
A total number of 73 charges have now been laid against a man from Eckville previously arrested on child pornography offences, Child Sexual Exploitation
Investigators said forensic analysis of Juneau’s phone and computers has so far found more than 500000 images and videos of child sexual exploitation and voyeurism, Child Sexual Exploitation
He sent numerous sexually explicit messages before convincing the 13-year-old girl who cannot be named for legal reasons to meet up. When she met him Wilkes sexually assaulted her, Child Sexual Exploitation
The two men were arrested on the charges after police found children’s underwear and child pornography in their home according to arrest documents, Child Sexual Exploitation
"Glassman said child sex trafficking victims are often “initially lured through the Internet” or apps like Badoo", Child Trafficking
A former pastor accused of grooming a 14-year-old girl for sex was assigned a new judge Monday to oversee his court case, Child Trafficking
Anthony Haynes 39 who led Greater Life Christian Center in Toledo is charged with sex trafficking of children and production of child pornography, Child Trafficking
Joseph Anthony Lewis 35 of 3804 New Bern Avenue is charged with promoting prostitution of a minor and human trafficking with a child victim. According to an arrest warrant Lewis harbored a child inside a room of the Knights Inn on New Bern Avenue and forced her to engage in sexual activity with others in exchange for money, Child Trafficking
Those charges include three first-degree counts to trafficking in minors conspiracy to making child pornography and recording sex acts involving a child according to the report, Child Trafficking
Lured by false promises of good jobs serving tourists or cleaning city apartments Peru's indigenous women and girls often end up in domestic servitude, Domestic Servitude
Lured by false promises of a good job educational opportunities a stable conflict-free environment or even a loving romantic relationship victims of human trafficking are then pushed into forced labor or begging sexual exploitation and domestic servitude, Domestic Servitude
Whether through prostitution or other forms of forced labor such as restaurants and nail salons we as a community must recognize the signs, Domestic Servitude
Elvira 50 from the Philippines also arrived at Heathrow in 2014 and was taken to a luxury flat in London’s Kensington where she was forced to work 20 hours a day, Domestic Servitude
Ofonime Inuk was 14 and an orphan when he was lured to the UK from Nigeria and kept as a slave for 24 years in the West London home of NHS doctor Emmanuel Edet and his wife, Domestic Servitude
